#gene	geneID	pk
MIR128-2	ENSG00000207625.1	89813
AC104308.2	ENSG00000226489.1	207276
RFC3P1	ENSG00000236158.1	775331
STAC	ENSG00000144681.10	608714
NBPF21P	ENSG00000231382.1	130478
RN7SKP227	ENSG00000201315.1	27741
DCLK3	ENSG00000163673.6	887450
HSPD1P6	ENSG00000230067.3	192645
RP11-640L9.1	ENSG00000279727.1	666714
RP11-640L9.2	ENSG00000281100.1	516428
TRANK1	ENSG00000168016.13	500936
AC011816.1	ENSG00000234073.1	865359
RNU6ATAC4P	ENSG00000210181.1	148609
RP11-129K12.1	ENSG00000272334.1	284279
PRADC1P1	ENSG00000236165.1	456048
EPM2AIP1	ENSG00000178567.7	253855
MLH1	ENSG00000076242.14	391211
RPL29P11	ENSG00000224858.5	686871
LRRFIP2	ENSG00000093167.17	850499
Y_RNA	ENSG00000206645.1	189702
UBE2D3P2	ENSG00000225558.1	188010
RNU6-1301P	ENSG00000199594.1	777870
UBE2FP1	ENSG00000224080.1	660573
RP11-285J16.1	ENSG00000271993.1	309028
AC097359.2	ENSG00000231449.1	75164
RP11-259K5.1	ENSG00000271653.1	151772
RP11-259K5.2	ENSG00000270194.1	144781
GOLGA4	ENSG00000144674.16	214521
TCEA1P2	ENSG00000230409.3	37661
RNA5SP129	ENSG00000222208.1	111068
C3orf35	ENSG00000198590.11	28703
ITGA9	ENSG00000144668.11	290435
RNU7-73P	ENSG00000239105.1	307510
ITGA9-AS1	ENSG00000235257.8	62536
RPL21P135	ENSG00000235482.1	681535
NDUFAF4P3	ENSG00000236411.1	369165
CTDSPL	ENSG00000144677.14	272932
MIR26A1	ENSG00000199075.1	617965
VILL	ENSG00000136059.14	454605
PLCD1	ENSG00000187091.13	926875
Y_RNA	ENSG00000200579.1	745086
DLEC1	ENSG00000008226.19	84136
PPP2R2DP1	ENSG00000231668.2	454561
ACAA1	ENSG00000060971.17	917224
Y_RNA	ENSG00000201965.1	674987
MYD88	ENSG00000172936.12	98465
OXSR1	ENSG00000172939.8	967433
SLC22A13	ENSG00000172940.11	555314
RP11-815I22.1	ENSG00000237982.1	580077
SLC22A14	ENSG00000144671.10	796983
RNU6-235P	ENSG00000199514.1	781398
DLEC1P1	ENSG00000230123.1	460923
XYLB	ENSG00000093217.9	101599
ACVR2B-AS1	ENSG00000229589.1	656768
ACVR2B	ENSG00000114739.13	350745
EXOG	ENSG00000157036.12	877371
Y_RNA	ENSG00000207512.1	78172
DDTP1	ENSG00000230683.1	237560
RPL18AP7	ENSG00000232439.1	872123
SCN5A	ENSG00000183873.15	752546
SCN10A	ENSG00000185313.6	596010
AC116038.1	ENSG00000222719.1	305784
RP11-134J21.1	ENSG00000231243.1	114427
SCN11A	ENSG00000168356.11	802671
RNU6-1227P	ENSG00000206708.1	174160
WDR48	ENSG00000114742.13	76040
GORASP1	ENSG00000114745.13	608568
TTC21A	ENSG00000168026.16	281093
MIR6822	ENSG00000276236.1	847320
CSRNP1	ENSG00000144655.14	242123
Metazoa_SRP	ENSG00000214305.4	273336
XIRP1	ENSG00000168334.8	246263
DSTNP4	ENSG00000215034.4	302152
CX3CR1	ENSG00000168329.13	905684
RP11-331G2.6	ENSG00000270367.1	798661
CCR8	ENSG00000179934.6	223733
HNRNPA1P21	ENSG00000228168.1	214684
RP11-241K18.2	ENSG00000238267.1	881870
EEF1A1P24	ENSG00000223668.1	64306
SLC25A38	ENSG00000144659.10	937647
RPSA	ENSG00000168028.13	31397
SNORA6	ENSG00000206760.1	13564
SNORA62	ENSG00000202363.1	245840
AC099332.1	ENSG00000264724.1	734071
MOBP	ENSG00000168314.17	252518
NFU1P1	ENSG00000230757.1	104246
MYRIP	ENSG00000170011.13	739605
RNU4-56P	ENSG00000201570.1	575246
EIF1B-AS1	ENSG00000280739.2	468694
RN7SL411P	ENSG00000265327.2	577260
SNORA64	ENSG00000202517.1	262423
EIF1B	ENSG00000114784.3	781737
ENTPD3-AS1	ENSG00000223797.5	989842
PGAM1P3	ENSG00000230274.1	717380
ENTPD3	ENSG00000168032.8	254328
RPL14	ENSG00000188846.13	666856
ZNF619	ENSG00000177873.12	788304
RNU5B-2P	ENSG00000199906.1	405716
ZNF620	ENSG00000177842.11	68545
ZNF621	ENSG00000172888.11	160888
RPL5P10	ENSG00000234067.1	654965
EEF1GP3	ENSG00000226845.1	615059
RP11-528N21.1	ENSG00000226302.1	438287
HMGN2P24	ENSG00000229072.1	611348
RP11-761N21.2	ENSG00000234287.1	130587
RP11-761N21.1	ENSG00000231873.1	101833
RP11-520A21.1	ENSG00000233096.1	454209
RP11-372H2.1	ENSG00000233919.1	944268
MRPS31P1	ENSG00000275256.1	762145
CTNNB1	ENSG00000168036.16	152773
ULK4	ENSG00000168038.10	637339
AC099537.1	ENSG00000221337.1	268402
SCARNA21	ENSG00000252409.1	543040
RN7SKP58	ENSG00000222942.1	797040
ATP6V0E1P2	ENSG00000223513.1	148442
Y_RNA	ENSG00000251986.1	478666
U8	ENSG00000212145.2	817149
RPL36P20	ENSG00000234270.1	105418
GEMIN2P2	ENSG00000235339.1	65067
TRAK1	ENSG00000182606.14	525122
RP11-193I22.2	ENSG00000229339.1	219373
TPMTP2	ENSG00000234562.1	836850
RNU4-78P	ENSG00000222872.1	924896
CCK	ENSG00000187094.11	906432
RP11-333B11.1	ENSG00000281160.1	765704
SALL4P6	ENSG00000231280.1	792012
EIF4BP4	ENSG00000229572.1	870536
LYZL4	ENSG00000157093.8	184469
AC092048.1	ENSG00000239181.1	324254
RP11-219I21.1	ENSG00000235787.1	259400
VIPR1	ENSG00000114812.12	779833
VIPR1-AS1	ENSG00000232354.7	360481
SEC22C	ENSG00000093183.13	414030
SS18L2	ENSG00000008324.10	648659
NKTR	ENSG00000114857.17	613258
RP4-613B23.1	ENSG00000230084.5	632417
ZBTB47	ENSG00000114853.13	244193
RN7SL567P	ENSG00000240203.3	812949
KLHL40	ENSG00000157119.11	290073
HHATL	ENSG00000010282.14	938246
CCDC13	ENSG00000244607.5	603691
HHATL-AS1	ENSG00000230970.3	599633
CCDC13-AS1	ENSG00000173811.10	617297
RP4-613B23.5	ENSG00000280571.1	906158
RP11-70C1.1	ENSG00000225611.1	688512
HIGD1A	ENSG00000181061.13	380138
RP11-70C1.3	ENSG00000235288.3	820281
ACKR2	ENSG00000144648.15	38534
RP11-141M3.6	ENSG00000273328.5	590965
RP11-136C24.3	ENSG00000273291.5	611460
KRBOX1	ENSG00000240747.7	272497
CYP8B1	ENSG00000180432.5	120678
HNRNPA1P22	ENSG00000236459.1	712689
ZNF662	ENSG00000182983.14	461899
AC092043.1	ENSG00000281085.1	983950
KRBOX1-AS1	ENSG00000206552.4	305980
FAM198A	ENSG00000144649.8	879795
RP11-136C24.1	ENSG00000232375.1	495553
POMGNT2	ENSG00000144647.5	613760
RP11-136C24.2	ENSG00000227245.1	853946
AC104434.1	ENSG00000222331.1	850498
SNRK	ENSG00000163788.13	885954
RN7SL517P	ENSG00000241939.3	375163
RP11-188P20.3	ENSG00000271941.1	203902
SNRK-AS1	ENSG00000234617.1	896486
ANO10	ENSG00000160746.12	780732
Y_RNA	ENSG00000251811.1	183780
RP11-353H3.1	ENSG00000223916.1	842831
ABHD5	ENSG00000011198.7	342475
RP4-672N11.1	ENSG00000235886.1	54564
RP4-555D20.3	ENSG00000271192.1	106071
RP4-555D20.4	ENSG00000272121.1	456946
RNU6-367P	ENSG00000252980.1	815670
MIR138-1	ENSG00000207954.1	446439
RP4-555D20.1	ENSG00000280435.1	165340
RP4-555D20.2	ENSG00000261786.1	781379
TOPAZ1	ENSG00000173769.4	281608
RP11-424N24.2	ENSG00000271937.1	910756
TCAIM	ENSG00000179152.19	713603
LINC00694	ENSG00000225873.2	37139
RP11-101C21.4	ENSG00000283036.1	331223
ZNF445	ENSG00000185219.16	893930
ZNF852	ENSG00000178917.14	68810
EI24P3	ENSG00000214825.2	82235
RP11-944L7.6	ENSG00000277509.1	885765
ZKSCAN7	ENSG00000196345.12	552792
RP11-944L7.4	ENSG00000236869.1	652389
ZNF660	ENSG00000144792.9	812357
MPRIPP1	ENSG00000214820.3	527220
ZNF197	ENSG00000186448.14	107287
ZNF197-AS1	ENSG00000233509.2	623451
AC099669.1	ENSG00000280942.1	878793
ZNF35	ENSG00000169981.10	909941
RP11-348P10.2	ENSG00000272077.1	684499
SOCS5P3	ENSG00000235805.1	504701
ZNF502	ENSG00000196653.11	653099
ZNF501	ENSG00000186446.11	780745
KIAA1143	ENSG00000163807.5	254538
KIF15	ENSG00000163808.16	669882
AC098649.1	ENSG00000238958.1	265734
TMEM42	ENSG00000169964.5	375536
MIR564	ENSG00000207783.1	76696
TGM4	ENSG00000163810.11	122102
RP11-272D20.2	ENSG00000235845.1	503089
ZDHHC3	ENSG00000163812.13	306606
RPL12P44	ENSG00000227123.1	91158
EXOSC7	ENSG00000075914.12	615688
CLEC3B	ENSG00000163815.5	916060
RNU5B-3P	ENSG00000252410.1	500237
CDCP1	ENSG00000163814.7	367528
RPS24P8	ENSG00000224094.1	338194
TMEM158	ENSG00000249992.1	49606
U3	ENSG00000202268.2	678372
LARS2	ENSG00000011376.9	440927
LARS2-AS1	ENSG00000232455.2	183879
LIMD1	ENSG00000144791.9	150662
AC099539.1	ENSG00000251927.1	857553
LIMD1-AS1	ENSG00000230530.1	535960
SACM1L	ENSG00000211456.10	875511
RN7SL145P	ENSG00000244357.3	484067
RP11-697K23.3	ENSG00000279017.1	139736
SLC6A20	ENSG00000163817.15	892480
LZTFL1	ENSG00000163818.16	307531
RP11-852E15.1	ENSG00000236930.1	343124
CCR9	ENSG00000173585.15	118673
Y_RNA	ENSG00000201635.1	250955
FYCO1	ENSG00000163820.14	340673
CXCR6	ENSG00000172215.5	742729
XCR1	ENSG00000173578.7	398039
NRBF2P2	ENSG00000226933.1	60195
FLT1P1	ENSG00000229515.1	949984
CCR3	ENSG00000183625.14	261104
CCR1	ENSG00000163823.3	622631
UQCRC2P1	ENSG00000236736.1	262417
CCR2	ENSG00000121807.5	908136
RP11-24F11.2	ENSG00000223552.1	343700
CCR5	ENSG00000160791.13	815543
CCRL2	ENSG00000121797.9	908949
LTF	ENSG00000012223.12	904712
RTP3	ENSG00000163825.3	625389
LRRC2	ENSG00000163827.12	280694
AC104304.1	ENSG00000264306.1	290315
LRRC2-AS1	ENSG00000268324.2	544993
TDGF1	ENSG00000241186.7	628589
SNORD77	ENSG00000251967.1	243373
ALS2CL	ENSG00000178038.16	391277
TMIE	ENSG00000181585.3	526830
PRSS50	ENSG00000206549.12	623660
PRSS46	ENSG00000261603.1	276938
PRSS45	ENSG00000188086.12	66657
RP11-427P5.2	ENSG00000238013.1	273199
PRSS44	ENSG00000226074.4	787545
PRSS42	ENSG00000178055.11	395022
MYL3	ENSG00000160808.9	951385
PTH1R	ENSG00000160801.13	572061
RP11-427P5.3	ENSG00000273682.1	669499
CCDC12	ENSG00000160799.11	404113
NBEAL2	ENSG00000160796.16	380838
NRADDP	ENSG00000236409.1	657825
SETD2	ENSG00000181555.19	320301
MRPL57P3	ENSG00000275940.1	984140
KIF9-AS1	ENSG00000227398.3	853996
KIF9	ENSG00000088727.12	817092
SNORD13P3	ENSG00000239128.1	103113
KLHL18	ENSG00000114648.11	258208
RP11-447D11.3	ENSG00000280173.1	676581
RP11-708J19.1	ENSG00000260236.1	970422
PTPN23	ENSG00000076201.14	935831
SCAP	ENSG00000114650.18	715022
RP11-708J19.3	ENSG00000276925.1	732475
ELP6	ENSG00000163832.15	897497
BOLA2P2	ENSG00000271161.1	870369
Y_RNA	ENSG00000280667.1	31797
AC099778.1	ENSG00000266443.1	989371
RN7SL870P	ENSG00000244732.3	960684
CSPG5	ENSG00000114646.9	206358
SMARCC1	ENSG00000173473.10	721182
RP11-717D12.1	ENSG00000214773.1	103401
RP11-395P16.1	ENSG00000235695.1	360094
AC026318.1	ENSG00000266457.1	993267
DHX30	ENSG00000132153.14	633286
uc_338	ENSG00000274420.1	269371
MIR1226	ENSG00000221585.1	782053
MAP4	ENSG00000047849.21	257981
Y_RNA	ENSG00000199591.1	64775
VPS26BP1	ENSG00000224895.1	833842
RP11-1029M24.4	ENSG00000270285.1	254576
AC124916.1	ENSG00000281068.1	629109
RN7SL664P	ENSG00000265078.2	863833
AC124916.2	ENSG00000281238.1	541184
RP11-1029M24.1	ENSG00000236768.1	16977
CDC25A	ENSG00000164045.11	583937
SNRPFP4	ENSG00000235627.1	951345
RNU7-128P	ENSG00000253056.1	239712
NDUFB1P1	ENSG00000231884.1	917962
MIR4443	ENSG00000265483.1	202669
CAMP	ENSG00000164047.4	446661
ZNF589	ENSG00000164048.13	781211
MRPS18AP1	ENSG00000229759.1	696193
Y_RNA	ENSG00000199476.1	732538
FCF1P2	ENSG00000228638.1	483065
NME6	ENSG00000172113.8	786084
SPINK8	ENSG00000229453.2	732070
MIR2115	ENSG00000252466.1	693618
FBXW12	ENSG00000164049.14	530636
RN7SL321P	ENSG00000277483.1	142612
PLXNB1	ENSG00000164050.12	907769
CCDC51	ENSG00000164051.13	541561
TMA7	ENSG00000232112.3	997373
RP11-24C3.2	ENSG00000244380.1	459230
ATRIP	ENSG00000164053.18	697063
ATRIP	ENSG00000282827.1	570400
TREX1	ENSG00000213689.10	782533
SHISA5	ENSG00000164054.15	929796
AC134772.1	ENSG00000264209.1	296782
PFKFB4	ENSG00000114268.11	968298
MIR6823	ENSG00000278799.1	274824
UCN2	ENSG00000145040.3	480271
COL7A1	ENSG00000114270.15	354357
MIR711	ENSG00000211535.1	150018
UQCRC1	ENSG00000010256.10	642442
TMEM89	ENSG00000183396.3	161686
SLC26A6	ENSG00000225697.10	163423
MIR6824	ENSG00000274831.1	472327
CELSR3	ENSG00000008300.14	92080
MIR4793	ENSG00000263898.1	45600
CELSR3-AS1	ENSG00000228350.1	142281
RP11-572O6.1	ENSG00000271973.1	347427
NCKIPSD	ENSG00000213672.7	601186
IP6K2	ENSG00000068745.14	329893
AC141002.1	ENSG00000274388.1	141710
PRKAR2A	ENSG00000114302.15	475494
PRKAR2A-AS1	ENSG00000224424.7	258452
SLC25A20	ENSG00000178537.9	150559
ARIH2OS	ENSG00000221883.2	402699
ARIH2	ENSG00000177479.19	588106
RP13-131K19.1	ENSG00000235236.1	689570
RP13-131K19.2	ENSG00000223343.1	231202
RP13-131K19.7	ENSG00000273211.1	48426
P4HTM	ENSG00000178467.17	965666
WDR6	ENSG00000178252.17	711276
DALRD3	ENSG00000178149.16	180346
MIR425	ENSG00000199032.1	459880
NDUFAF3	ENSG00000178057.14	349346
MIR191	ENSG00000207605.2	571050
IMPDH2	ENSG00000178035.11	723416
RP13-131K19.6	ENSG00000272434.1	191677
QRICH1	ENSG00000198218.10	889910
RN7SL182P	ENSG00000241461.3	540176
QARS	ENSG00000172053.15	520592
MIR6890	ENSG00000274888.1	451479
USP19	ENSG00000172046.18	533460
LAMB2	ENSG00000172037.13	329830
RP11-694I15.7	ENSG00000270441.1	931583
CCDC71	ENSG00000177352.9	774056
KLHDC8B	ENSG00000185909.14	994720
C3orf84	ENSG00000236980.9	95687
CCDC36	ENSG00000173421.16	930642
RP11-3B7.7	ENSG00000270538.1	924506
RP11-3B7.1	ENSG00000225399.4	377037
C3orf62	ENSG00000188315.7	955497
Y_RNA	ENSG00000199546.1	952709
MIR4271	ENSG00000264633.1	988248
USP4	ENSG00000114316.12	504218
Metazoa_SRP	ENSG00000281433.1	519260
GPX1	ENSG00000233276.3	144669
RHOA	ENSG00000067560.10	732399
RHOA-IT1	ENSG00000235908.1	381249
TCTA	ENSG00000145022.4	688454
AMT	ENSG00000145020.14	121419
NICN1	ENSG00000145029.11	326883
RNA5SP130	ENSG00000201301.1	4882
DAG1	ENSG00000173402.11	649604
BSN-AS2	ENSG00000226913.1	441849
BSN	ENSG00000164061.4	565724
BSN-AS1	ENSG00000235120.1	607252
AC099668.1	ENSG00000281001.1	154717
APEH	ENSG00000164062.12	551035
MST1	ENSG00000173531.15	193168
AC099668.5	ENSG00000259970.1	331516
RNF123	ENSG00000164068.15	666550
AMIGO3	ENSG00000176020.8	456657
GMPPB	ENSG00000173540.12	88611
IP6K1	ENSG00000176095.11	255896
COX6CP14	ENSG00000239576.1	374904
RP13-1056D16.2	ENSG00000244730.1	931459
CDHR4	ENSG00000187492.8	601282
FAM212A	ENSG00000185614.4	522123
UBA7	ENSG00000182179.10	129642
MIR5193	ENSG00000263506.1	375242
AC139451.1	ENSG00000263651.1	728425
TRAIP	ENSG00000183763.8	968145
CAMKV	ENSG00000164076.16	37763
RN7SL217P	ENSG00000264706.2	139780
AC139451.2	ENSG00000281278.1	906667
ACTBP13	ENSG00000234667.1	604178
MST1R	ENSG00000164078.12	903602
CTD-2330K9.2	ENSG00000230698.1	463949
CTD-2330K9.3	ENSG00000228008.1	690724
MON1A	ENSG00000164077.13	10358
RBM6	ENSG00000004534.14	211383
RBM5	ENSG00000003756.16	41215
RBM5-AS1	ENSG00000281691.1	406308
SEMA3F-AS1	ENSG00000235016.1	77047
SEMA3F	ENSG00000001617.11	414000
MIR566	ENSG00000207922.1	88411
GNAT1	ENSG00000114349.9	133247
SLC38A3	ENSG00000188338.14	222545
GNAI2	ENSG00000114353.16	336792
MIR5787	ENSG00000275334.1	634213
XXcos-LUCA16.1	ENSG00000213600.3	137490
U73166.2	ENSG00000230454.1	547193
SEMA3B-AS1	ENSG00000232352.1	769054
SEMA3B	ENSG00000012171.17	885129
MIR6872	ENSG00000274596.1	654506
LSMEM2	ENSG00000179564.3	758513
IFRD2	ENSG00000214706.10	718163
HYAL3	ENSG00000186792.16	123929
NAT6	ENSG00000243477.5	920506
HYAL1	ENSG00000114378.16	98203
HYAL2	ENSG00000068001.13	36770
TUSC2	ENSG00000114383.9	433873
RASSF1	ENSG00000068028.17	910057
RASSF1-AS1	ENSG00000281358.1	482261
ZMYND10-AS1	ENSG00000235058.1	674368
ZMYND10	ENSG00000004838.13	572702
NPRL2	ENSG00000114388.12	650617
CYB561D2	ENSG00000114395.10	288955
XXcos-LUCA11.5	ENSG00000272104.1	517108
TMEM115	ENSG00000126062.3	527785
CACNA2D2	ENSG00000007402.11	358255
CYB561D2	ENSG00000271858.5	291146
RNA5SP131	ENSG00000202322.1	978115
C3orf18	ENSG00000088543.14	184850
HEMK1	ENSG00000114735.9	579342
RP11-804H8.7	ENSG00000280382.1	191860
CISH	ENSG00000114737.15	528476
MAPKAPK3	ENSG00000114738.10	778403
RP11-804H8.6	ENSG00000273356.1	87016
MIR4787	ENSG00000272543.1	744878
DOCK3	ENSG00000088538.12	195442
RP11-804H8.5	ENSG00000228337.1	422460
RP11-646D13.1	ENSG00000213587.3	180303
ZNF652P1	ENSG00000235278.2	71319
ST13P14	ENSG00000240959.1	732412
AC144634.1	ENSG00000281824.1	42084
MANF	ENSG00000145050.15	482458
RBM15B	ENSG00000259956.1	966966
VPRBP	ENSG00000145041.15	335778
RAD54L2	ENSG00000164080.13	824126
RNU6ATAC29P	ENSG00000221015.1	405767
TEX264	ENSG00000164081.12	306223
RNA5SP132	ENSG00000201595.1	952460
GRM2	ENSG00000164082.14	646931
AC099050.1	ENSG00000278290.1	402713
IQCF6	ENSG00000214686.4	55500
IQCF4	ENSG00000224792.6	771631
IQCF3	ENSG00000229972.7	116328
IQCF2	ENSG00000184345.4	168560
RN7SL504P	ENSG00000241789.3	272142
IQCF5-AS1	ENSG00000235455.1	529375
IQCF5	ENSG00000214681.3	199964
IQCF1	ENSG00000173389.15	878425
RRP9	ENSG00000114767.6	771614
PARP3	ENSG00000041880.14	491187
RP11-155D18.13	ENSG00000280422.1	445039
GPR62	ENSG00000180929.5	489666
PCBP4	ENSG00000090097.20	587286
RP11-155D18.12	ENSG00000272762.5	806654
ABHD14B	ENSG00000114779.19	376838
ABHD14A	ENSG00000248487.8	746670
ABHD14A-ACY1	ENSG00000114786.15	627637
ACY1	ENSG00000243989.7	956715
RPL29	ENSG00000162244.10	966709
DUSP7	ENSG00000164086.9	230736
POC1A	ENSG00000164087.7	938938
ALDOAP1	ENSG00000242849.2	306701
ALAS1	ENSG00000023330.14	79748
RP11-330H6.6	ENSG00000280003.1	821328
TLR9	ENSG00000239732.3	299054
RP11-330H6.5	ENSG00000173366.11	278375
TWF2	ENSG00000247596.8	815198
RP5-1157M23.2	ENSG00000243224.1	994284
PPM1M	ENSG00000164088.17	440613
WDR82	ENSG00000164091.11	269956
MIRLET7G	ENSG00000199150.2	579546
GLYCTK	ENSG00000168237.17	429416
GLYCTK-AS1	ENSG00000242797.3	255685
MIR135A1	ENSG00000207926.1	661298
DNAH1	ENSG00000114841.17	687447
RP11-168J18.6	ENSG00000239557.1	736881
BAP1	ENSG00000163930.9	819921
PHF7	ENSG00000010318.19	580284
SEMA3G	ENSG00000010319.6	586949
TNNC1	ENSG00000114854.7	961456
NISCH	ENSG00000010322.15	787804
STAB1	ENSG00000010327.10	87547
NT5DC2	ENSG00000168268.10	562250
SMIM4	ENSG00000168273.7	442144
PBRM1	ENSG00000163939.18	836196
RNU6-856P	ENSG00000252768.1	172522
RNU6ATAC16P	ENSG00000221518.1	566368
GNL3	ENSG00000163938.16	787860
SNORD19B	ENSG00000280904.1	495403
SNORD19	ENSG00000252787.2	341131
SNORD19	ENSG00000212493.1	924684
SNORD19B	ENSG00000238862.1	82
SNORD19	ENSG00000222345.1	938516
SNORD69	ENSG00000212452.1	310259
GLT8D1	ENSG00000016864.16	624807
SPCS1	ENSG00000114902.13	224666
NEK4	ENSG00000114904.12	218012
RP5-966M1.7	ENSG00000275956.1	195393
RP5-966M1.5	ENSG00000270941.1	434278
RP5-966M1.4	ENSG00000271137.1	100839
ITIH1	ENSG00000055957.10	458588
ITIH3	ENSG00000162267.12	352714
ITIH4	ENSG00000055955.15	896347
RP5-966M1.6	ENSG00000243696.4	407075
ITIH4-AS1	ENSG00000239799.1	702857
MUSTN1	ENSG00000272573.5	775459
TMEM110-MUSTN1	ENSG00000248592.7	238527
TMEM110	ENSG00000213533.11	718506
MIR8064	ENSG00000275789.1	451650
RP11-894J14.2	ENSG00000279144.1	26060
SFMBT1	ENSG00000163935.13	159694
RP11-894J14.5	ENSG00000272305.5	737376
RP11-5O17.1	ENSG00000280417.1	643401
SERBP1P3	ENSG00000242142.1	886460
RFT1	ENSG00000163933.9	513778
PRKCD	ENSG00000163932.13	331540
TKT	ENSG00000163931.15	350143
DCP1A	ENSG00000272886.5	792732
Y_RNA	ENSG00000274967.1	920132
SNORD38	ENSG00000207109.1	376473
SNORA26	ENSG00000212608.1	236427
RP11-72H11.1	ENSG00000227224.1	705518
CACNA1D	ENSG00000157388.13	137554
SNORD63	ENSG00000251987.1	815071
RP11-884K10.6	ENSG00000271916.1	606121
CHDH	ENSG00000016391.10	888875
IL17RB	ENSG00000056736.9	173324
RP11-884K10.7	ENSG00000271976.1	918097
ACTR8	ENSG00000113812.13	843987
SELK	ENSG00000113811.10	393002
CABYRP1	ENSG00000242983.1	568115
CACNA2D3	ENSG00000157445.14	507685
RPS15P5	ENSG00000229806.1	305398
ESRG	ENSG00000265992.1	230498
AC092057.1	ENSG00000276927.1	208803
CACNA2D3-AS1	ENSG00000243715.1	372777
LRTM1	ENSG00000144771.7	183705
RP11-889D3.1	ENSG00000239991.1	817692
RP11-889D3.2	ENSG00000243572.1	802593
RP11-64C1.1	ENSG00000240708.1	412046
RP11-875H7.1	ENSG00000242568.1	199513
RP11-875H7.2	ENSG00000242775.1	265814
WNT5A	ENSG00000114251.13	196722
WNT5A-AS1	ENSG00000244586.1	268710
RP11-875H7.5	ENSG00000242317.1	625000
ERC2	ENSG00000187672.12	719685
RP11-58O15.1	ENSG00000240777.2	595188
ERC2-IT1	ENSG00000281708.1	58251
MIR3938	ENSG00000264013.1	681408
RN7SKP45	ENSG00000200379.1	255705
RNA5SP133	ENSG00000200238.1	405903
CCDC66	ENSG00000180376.16	845273
FAM208A	ENSG00000163946.13	583618
ARHGEF3	ENSG00000163947.11	602313
ARHGEF3-AS1	ENSG00000240198.5	87540
SPATA12	ENSG00000186451.1	274190
RP11-157F20.3	ENSG00000272202.1	618332
IL17RD	ENSG00000144730.16	611558
RP11-157F20.1	ENSG00000229863.1	643716
HESX1	ENSG00000163666.8	258801
APPL1	ENSG00000157500.10	315602
AC093928.1	ENSG00000273926.1	864780
ASB14	ENSG00000239388.8	133199
DNAH12	ENSG00000174844.14	564107
Y_RNA	ENSG00000212392.1	865021
RNU6-1181P	ENSG00000206918.1	849129
RNF7P1	ENSG00000239831.1	492126
RP11-229A12.2	ENSG00000237186.1	66775
RNU6-108P	ENSG00000202428.1	503358
RNU6-483P	ENSG00000206815.1	157868
PDE12	ENSG00000174840.8	369080
ARF4	ENSG00000168374.10	728652
ARF4-AS1	ENSG00000272146.5	392486
RNU6ATAC26P	ENSG00000210841.1	747780
DENND6A	ENSG00000174839.12	181701
DENND6A-AS1	ENSG00000239801.1	739591
RP11-755B10.3	ENSG00000241933.1	434845
SLMAP	ENSG00000163681.14	544509
PDHA1P1	ENSG00000270772.1	733697
PPIAP16	ENSG00000213509.4	955697
FLNB	ENSG00000136068.14	433590
FLNB-AS1	ENSG00000244161.1	918903
DNASE1L3	ENSG00000163687.13	604980
ABHD6	ENSG00000163686.13	421105
RPP14	ENSG00000163684.11	84871
RP11-80H18.3	ENSG00000255154.7	922
RP11-80H18.4	ENSG00000273493.1	306717
PXK	ENSG00000168297.15	458423
RP11-802O23.4	ENSG00000275607.1	208113
PDHB	ENSG00000168291.12	648191
RP11-802O23.3	ENSG00000272182.1	267002
RP11-359I18.5	ENSG00000272360.1	88096
KCTD6	ENSG00000168301.12	987558
ACOX2	ENSG00000168306.12	234545
RP11-359I18.1	ENSG00000236722.1	388910
FAM107A	ENSG00000168309.16	501211
RP11-475O23.2	ENSG00000243384.1	410925
FAM3D-AS1	ENSG00000244383.1	748424
FAM3D	ENSG00000198643.6	963892
C3orf67	ENSG00000163689.18	505546
C3orf67-AS1	ENSG00000242428.5	752460
CTD-2185K10.1	ENSG00000243295.1	593309
RP11-285B24.1	ENSG00000243903.1	921696
RP11-719N22.2	ENSG00000242545.1	768445
RP11-719N22.1	ENSG00000241804.1	561020
Metazoa_SRP	ENSG00000277592.1	865611
FHIT	ENSG00000189283.9	615438
RP11-641C17.4	ENSG00000240097.1	44761
MIR548BB	ENSG00000281426.1	83113
RP11-641C17.2	ENSG00000232407.3	920344
RP11-641C17.3	ENSG00000225673.3	970470
RP11-641C17.1	ENSG00000244183.1	866966
U3	ENSG00000212211.2	862064
PTPRG	ENSG00000144724.18	719304
Y_RNA	ENSG00000252420.1	614610
RPL10AP6	ENSG00000226360.5	960130
RNU2-10P	ENSG00000252184.1	12342
RP11-154D3.1	ENSG00000237456.3	962507
PTPRG-AS1	ENSG00000241472.6	119441
C3orf14	ENSG00000114405.10	531221
FEZF2	ENSG00000153266.12	954157
CADPS	ENSG00000163618.17	908726
RP11-1036F1.1	ENSG00000225662.2	673742
RN7SL863P	ENSG00000244632.3	446863
RNU6-139P	ENSG00000252449.1	895944
RP11-24H1.1	ENSG00000226082.2	812997
LINC00698	ENSG00000244342.5	902887
KRT8P35	ENSG00000242841.1	746355
UBL5P3	ENSG00000240359.1	699557
SYNPR	ENSG00000163630.10	253595
AC099545.1	ENSG00000252662.1	414422
SYNPR-AS1	ENSG00000241359.1	237825
RNA5SP134	ENSG00000252301.1	304972
SNTN	ENSG00000188817.7	48122
AC136289.1	ENSG00000224479.5	486526
AC104162.1	ENSG00000281666.1	464784
C3orf49	ENSG00000163632.12	74828
THOC7	ENSG00000163634.11	246839
THOC7-AS1	ENSG00000240549.2	820620
ATXN7	ENSG00000163635.17	761502
SCAANT1	ENSG00000280620.1	228367
